,NAME,TEAM,elo
1,Tyler Day,Northern Arizona,1421.269993
2,Lawrence Kipkoech,Campbell,1398.238477
3,Aidan Tooker,Syracuse,1394.515146
4,Grant Fisher,Stanford,1389.248507
5,Alex Ostberg,Stanford,1389.103563
6,Amon Kemboi,Campbell,1384.060566
7,James Sugira,Eastern Kentucky,1380.452598
8,Aaron Templeton,Furman,1377.559246
9,Alek Parsons,Stanford,1375.369768
10,Peter Lomong,Northern Arizona,1369.756287
11,Paul Roberts,Wyoming,1365.002261
12,Rory Linkletter,BYU,1364.966855
13,Conner Mantz,BYU,1361.864003
14,Matthew Baxter,Northern Arizona,1361.021325
15,Connor McMillan,BYU,1359.53156
16,Talon Hull,Washington,1358.993269
17,Brent Demarest,Virginia,1358.40495
18,Joe Klecker,Colorado,1354.327829
19,Jaret Carpenter,Purdue,1350.282251
20,Tanner Anderson,Washington,1346.314692
21,Tibebu Proctor,Washington,1345.008271
22,Yared Nuguse,Notre Dame,1344.542704
23,John Dressel,Colorado,1342.399721
24,Blaise Ferro,Northern Arizona,1341.531446
25,Chris Olley,San Francisco,1341.479073
26,Luis Grijalva,Northern Arizona,1335.388846
27,Clayson Shumway,BYU,1333.253416
28,Ryan Forsyth,Colorado,1332.408154
29,Geordie Beamish,Northern Arizona,1331.032401
30,Morgan McDonald,Wisconsin,1330.406519
31,Aidan Reed,Southern Utah,1323.654341
32,Peter Seufer,Virginia Tech,1320.885888
33,Mickey Davey,Air Force,1318.020519
34,Eric Hamer,Colorado St.,1316.969389
35,Cole Rockhold,Colorado St.,1316.56787
36,Casey Comber,Villanova,1313.669737
37,Zach Facioni,Wake Forest,1312.870365
38,Nick Hauger,Portland,1304.951933
39,Kyle Mau,Indiana,1304.292541
40,Waleed Suliman,Ole Miss,1304.113406
41,Edwin Kurgat,Iowa State,1301.398588
42,Carson Hume,Colorado St.,1290.557613
43,Andrew Marston,Villanova,1289.618671
44,Alfred Chelanga,Alabama,1289.544592
45,Gilbert Boit,Arkansas,1285.965537
46,Emmanuel Cheboson,Louisville,1284.77358
47,Jose Pina,San Jose St.,1282.738084
48,AJ Ernst,Virginia,1280.232493
49,Cameron Griffith,Arkansas,1279.856033
50,Chandler Teigen,Washington St.,1279.662104
51,Oliver Hoare,Wisconsin,1273.870097
52,Christian Ricketts,Southern Utah,1273.671918
53,Jacob Heslington,BYU,1273.467325
54,Tai Dinger,Stanford,1272.938323
55,Joe Dragon,Syracuse,1272.347415
56,Carlos Villarreal,Arizona,1272.111762
57,James West,Oregon,1270.918145
58,Noah Affolder,Syracuse,1267.118894
59,Conor Lundy,Princeton,1267.104272
60,Farah Abdulkarim,Ole Miss,1266.889743
61,Kevin James,Syracuse,1261.811713
62,George Kusche,Nebraska,1261.804357
63,Clayton Young,BYU,1261.095497
64,Jacob McLeod,Belmont,1257.287899
65,Garrett Reynolds,UCLA,1256.57582
66,Colin Burke,UCLA,1252.944579
67,Ryan Raff,Northern Arizona,1251.988963
68,Christopher Henry,Wyoming,1250.152488
69,Ari Klau,Virginia,1246.794422
70,Gannon Willcutts,Princeton,1246.222874
71,Ashenafi Hatte,Oklahoma State,1246.008134
72,Eduardo Herrera,Colorado,1240.931436
73,Cooper Teare,Oregon,1237.290869
74,Charlie Hunter,Oregon,1237.18517
75,Andrew Alexander,Notre Dame,1236.617887
76,Ryan Adams,Furman,1235.837624
77,Curt Eckstein,Purdue,1235.524781
78,Colin Abert,Penn State,1233.800711
79,Callum Bolger,Stanford,1229.545935
80,Matt Grossman,Princeton,1229.489553
