Elo rank,NAME,TEAM,elo
1,Tyler Day,Northern Arizona,1469.468443
2,James Sugira,Eastern Kentucky,1460.677315
3,Lawrence Kipkoech,Campbell,1452.373042
4,Aaron Templeton,Furman,1448.928173
5,Amon Kemboi,Campbell,1448.116926
6,Tanner Anderson,Washington,1429.714452
7,Aidan Tooker,Syracuse,1428.698599
8,Jaret Carpenter,Purdue,1424.013031
9,Joe Klecker,Colorado,1423.929378
10,Brent Demarest,Virginia,1422.424192
11,Nick Hauger,Portland,1421.538708
12,Peter Seufer,Virginia Tech,1420.354395
13,Matthew Baxter,Northern Arizona,1419.059337
14,Yared Nuguse,Notre Dame,1410.347812
15,Peter Lomong,Northern Arizona,1406.355469
16,Conner Mantz,BYU,1405.231755
17,Alex Ostberg,Stanford,1403.190243
18,Chris Olley,San Francisco,1402.665613
19,Carlos Villarreal,Arizona,1399.735685
20,Talon Hull,Washington,1398.687652
21,Grant Fisher,Stanford,1398.657066
22,Rory Linkletter,BYU,1398.127001
23,Connor McMillan,BYU,1389.459935
24,Aidan Reed,Southern Utah,1386.995713
25,Paul Roberts,Wyoming,1384.303223
26,Casey Comber,Villanova,1383.4499
27,Morgan McDonald,Wisconsin,1381.759031
28,Kyle Mau,Indiana,1380.345195
29,Eric Hamer,Colorado St.,1377.378801
30,Alek Parsons,Stanford,1375.369768
31,Edwin Kurgat,Iowa State,1373.755706
32,Emmanuel Cheboson,Louisville,1367.069088
33,Ryan Forsyth,Colorado,1365.029834
34,John Dressel,Colorado,1363.179651
35,Alfred Chelanga,Alabama,1362.919045
36,Zach Facioni,Wake Forest,1357.984459
37,Blaise Ferro,Northern Arizona,1353.647546
38,Oliver Hoare,Wisconsin,1352.981184
39,Azaria Kirwa,Liberty,1349.404843
40,Ryan Adams,Furman,1348.821624
41,Waleed Suliman,Ole Miss,1348.183092
42,Andrew Marston,Villanova,1347.594066
43,Colin Burke,UCLA,1346.836647
44,AJ Ernst,Virginia,1345.716749
45,Tibebu Proctor,Washington,1345.008271
46,Clayson Shumway,BYU,1343.241126
47,Joe Dragon,Syracuse,1342.985856
48,Luis Grijalva,Northern Arizona,1340.412121
49,Farah Abdulkarim,Ole Miss,1338.343008
50,Conor Lundy,Princeton,1337.823871
51,Jaime Romo,Eastern Kentucky,1334.895294
52,George Kusche,Nebraska,1334.004569
53,Ehab El-Sandali,Iona,1333.195785
54,Garrett Corcoran,California,1332.495882
55,Geordie Beamish,Northern Arizona,1331.032401
56,Hugo Milner,Harvard,1330.147046
57,Gilbert Boit,Arkansas,1329.16131
58,Addison DeHaven,Boise State,1327.463079
59,Jacob McLeod,Belmont,1327.391094
60,Blake Haney,Oregon,1326.791259
61,Ian Shanklin,North Carolina St.,1324.552561
62,James Mwaura,Gonzaga,1323.893192
63,Curt Eckstein,Purdue,1322.823729
64,Carson Hume,Colorado St.,1321.632537
65,Nicholas Wareham,Georgetown,1321.091778
66,Ashenafi Hatte,Oklahoma State,1319.745354
67,Matt Grossman,Princeton,1319.376429
68,Mickey Davey,Air Force,1318.020519
69,Olin Hacker,Wisconsin,1317.480108
70,Kieran Tuntivate,Harvard,1316.570167
71,Cole Rockhold,Colorado St.,1316.56787
72,Danny Kilrea,Notre Dame,1311.657803
73,Jack Rowe,San Francisco,1308.086182
74,Cooper Teare,Oregon,1307.007552
75,Erick Rotich,Eastern Kentucky,1305.960105
76,Gannon Willcutts,Princeton,1305.416774
77,Jack Van Scoter,Georgetown,1303.759074
78,Ari Klau,Virginia,1301.833398
79,Koby Pederson,Loyola Marymount,1300.109623
80,Patrick Begley,Connecticut,1297.727472
81,Miler Haller,Boise State,1297.463412
82,Paul Hogan,UMass Lowell,1296.731446
83,Cameron Griffith,Arkansas,1296.364527
84,Tai Dinger,Stanford,1292.41886
85,Dominic Hockenbury,Syracuse,1290.23373
86,Jacob Heslington,BYU,1287.887222
87,Chandler Teigen,Washington St.,1286.993343
88,Michael Somers,Portland,1286.827152
89,Jamie Crowe,Lamar,1285.858741
90,Mark Robertson,Ole Miss,1284.13119
91,Jamie Dee,Iona,1283.437248
92,Fred Huxham,Washington,1283.080642
93,Jose Pina,San Jose St.,1282.738084
94,Christian Ricketts,Southern Utah,1279.629485
95,Jackson Mestler,Oregon,1279.248036
96,Zach Long,Tennessee,1278.525474
97,Kyle Mattes,Illinois State,1278.482744
