NAME,TEAM,Place,WMS rank,Flo RANK
Morgan McDonald,Wisconsin,1,27,2
Grant Fisher,Stanford,2,21,1
Edwin Kurgat,Iowa State,3,31,4
Isai Rodriguez,Oklahoma State,4,124,17
Aaron Templeton,Furman,5,4,9
Tyler Day,Northern Arizona,6,1,5
Amon Kemboi,Campbell,7,5,11
Joe Klecker,Colorado,8,9,NA
John Dressel,Colorado,9,34,NA
Conner Mantz,BYU,10,16,21
Ryan Forsyth,Colorado,11,33,NA
Alfred Chelanga,Alabama,12,35,15
Alex Ostberg,Stanford,13,17,NA
James Sugira,Eastern Kentucky,14,2,6
Matthew Baxter,Northern Arizona,15,13,3
Peter Seufer,Virginia Tech,16,12,8
Oliver Hoare,Wisconsin,17,38,12
Eric Hamer,Colorado St.,18,29,NA
Tanner Anderson,Washington,19,6,NA
Paul Roberts,Wyoming,20,25,NA
Emmanuel Roudolff-Levisse,Portland,21,172,NA
Rory Linkletter,BYU,22,22,23
Luis Grijalva,Northern Arizona,23,48,20
Connor McMillan,BYU,24,23,10
Logan Orndorf,Portland,25,133,NA
Blaise Ferro,Northern Arizona,26,37,NA
Ashenafi Hatte,Oklahoma State,27,66,NA
Addison DeHaven,Boise State,28,58,NA
Peter Lomong,Northern Arizona,29,15,18
Alek Parsons,Stanford,30,30,NA
Brent Demarest,Virginia,31,10,NA
Clayson Shumway,BYU,32,46,NA
Danny Kilrea,Notre Dame,33,72,NA
Casey Comber,Villanova,34,26,NA
John Aho,Michigan,35,121,NA
Waleed Suliman,Ole Miss,36,41,NA
Lawrence Kipkoech,Campbell,37,3,13
Tibebu Proctor,Washington,38,45,NA
Geordie Beamish,Northern Arizona,39,55,NA
Nick Hauger,Portland,40,11,7
